Geography Code,Geography Name,Specialty Code,Specialty Name,Waiting List,Within 18 Weeks,Within 18 Weeks Rate,Median Wait Weeks,92nd Percentile Wait Weeks,Waits Over 52 Weeks,Waits Over 78 Weeks,Waits Over 65 Weeks,Date,Geography Type,Over 52 Weeks Rate,Region Key
Y63,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,C_999,Total,1010025,660079,0.653527387935942,12.1209340420553,40.4150796128629,23587,99,3020,2024-05-01,Region,,Region|Y63
-,NHS ENGLAND,C_999,Total,167772,101965,0.607759340056744,13.708102108768,44.5315130434783,6304,150,954,2024-05-01,ICB,,ICB|-
QE1,NHS LANCASHIRE AND SOUTH CUMBRIA INTEGRATED CARE BOARD,C_999,Total,242388,143660,0.592686106572933,14.0446514616126,45.176288209607,9391,18,960,2024-05-01,ICB,,ICB|QE1
QF7,NHS SOUTH YORKSHIRE INTEGRATED CARE BOARD,C_999,Total,193671,123272,0.636502109247125,12.5168549731432,41.6568312453943,5081,20,593,2024-05-01,ICB,,ICB|QF7
QGH,NHS HEREFORDSHIRE AND WORCESTERSHIRE INTEGRATED CARE BOARD,C_999,Total,101457,57488,0.566624284179505,15.1434156378601,43.5468783068783,3585,22,627,2024-05-01,ICB,,ICB|QGH
QH8,NHS MID AND SOUTH ESSEX INTEGRATED CARE BOARD,C_999,Total,189922,105857,0.557370920693758,15.3963459196102,47.479690641918,10284,116,2201,2024-05-01,ICB,,ICB|QH8
QHG,"NHS BEDFORDSHIRE, LUTON AND MILTON KEYNES INTEGRATED CARE BOARD",C_999,Total,151651,78456,0.51734574780252,17.2107710771077,50.1310162601626,10228,104,2130,2024-05-01,ICB,,ICB|QHG
QHL,NHS BIRMINGHAM AND SOLIHULL INTEGRATED CARE BOARD,C_999,Total,198726,106243,0.534620532793897,16.5643298969072,46.5056946039036,7971,7,514,2024-05-01,ICB,,ICB|QHL
QHM,NHS NORTH EAST AND NORTH CUMBRIA INTEGRATED CARE BOARD,C_999,Total,360262,248404,0.689509301563862,11.3005383022774,37.4099149265275,6550,34,995,2024-05-01,ICB,,ICB|QHM
QJ2,NHS DERBY AND DERBYSHIRE INTEGRATED CARE BOARD,C_999,Total,124325,71371,0.574067967021918,14.8247931253978,46.1531428571429,5549,22,1126,2024-05-01,ICB,,ICB|QJ2
QJG,NHS SUFFOLK AND NORTH EAST ESSEX INTEGRATED CARE BOARD,C_999,Total,129968,75718,0.582589560507202,14.4796511627907,46.0554285714286,6013,84,1146,2024-05-01,ICB,,ICB|QJG
QJK,NHS DEVON INTEGRATED CARE BOARD,C_999,Total,154185,91030,0.590394655770665,14.0129007036747,45.641286307054,7134,311,1838,2024-05-01,ICB,,ICB|QJK
QJM,NHS LINCOLNSHIRE INTEGRATED CARE BOARD,C_999,Total,115648,61803,0.534406128942999,16.4195356285028,46.5184516129032,5337,21,710,2024-05-01,ICB,,ICB|QJM
QK1,"NHS LEICESTER, LEICESTERSHIRE AND RUTLAND INTEGRATED CARE BOARD",C_999,Total,125774,74312,0.590837533989537,14.5714693295292,41.7199088838269,3114,10,328,2024-05-01,ICB,,ICB|QK1
QKK,NHS SOUTH EAST LONDON INTEGRATED CARE BOARD,C_999,Total,256833,149744,0.583040341389152,14.5827591372079,45.8054464285714,11087,149,2148,2024-05-01,ICB,,ICB|QKK
QKS,NHS KENT AND MEDWAY INTEGRATED CARE BOARD,C_999,Total,242967,147489,0.607033053871514,13.6072907423839,44.62492434663,10663,400,2870,2024-05-01,ICB,,ICB|QKS
QM7,NHS HERTFORDSHIRE AND WEST ESSEX INTEGRATED CARE BOARD,C_999,Total,192115,111423,0.579980740702184,14.8147544128933,45.7297658862876,8874,91,1668,2024-05-01,ICB,,ICB|QM7
QMF,NHS NORTH EAST LONDON INTEGRATED CARE BOARD,C_999,Total,254090,155016,0.610083041442009,13.4023616236162,43.3661272923409,8754,183,2025,2024-05-01,ICB,,ICB|QMF
QMJ,NHS NORTH CENTRAL LONDON INTEGRATED CARE BOARD,C_999,Total,190171,119760,0.62974901535986,13.0918751175475,42.0384713375796,6096,74,1425,2024-05-01,ICB,,ICB|QMJ
QMM,NHS NORFOLK AND WAVENEY INTEGRATED CARE BOARD,C_999,Total,146017,78103,0.534889773108611,16.4181735985533,50.749350372737,10557,454,3008,2024-05-01,ICB,,ICB|QMM
QNC,NHS STAFFORDSHIRE AND STOKE-ON-TRENT INTEGRATED CARE BOARD,C_999,Total,163340,92391,0.565636096485858,14.9240844693932,46.0126712328767,7346,42,1367,2024-05-01,ICB,,ICB|QNC
QNQ,NHS FRIMLEY INTEGRATED CARE BOARD,C_999,Total,86496,44745,0.517307158712542,17.1934267241379,48.4278212290503,4560,21,523,2024-05-01,ICB,,ICB|QNQ
QNX,NHS SUSSEX INTEGRATED CARE BOARD,C_999,Total,282381,150544,0.533123687500221,16.5886383731211,50.4353546767106,20050,603,5688,2024-05-01,ICB,,ICB|QNX
QOC,"NHS SHROPSHIRE, TELFORD AND WREKIN INTEGRATED CARE BOARD",C_999,Total,80788,43131,0.533878793880279,16.6166580444904,49.1487751937985,4914,3,1097,2024-05-01,ICB,,ICB|QOC
QOP,NHS GREATER MANCHESTER INTEGRATED CARE BOARD,C_999,Total,453954,240722,0.530278398251805,16.6822885572139,48.8782912379171,26623,72,3135,2024-05-01,ICB,,ICB|QOP
QOQ,NHS HUMBER AND NORTH YORKSHIRE INTEGRATED CARE BOARD,C_999,Total,208189,126429,0.607279923531022,13.7427403929751,42.7601001878522,5274,23,412,2024-05-01,ICB,,ICB|QOQ
QOX,"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE INTEGRATED CARE BOARD",C_999,Total,104249,63483,0.608955481587353,13.6740861382555,43.4749352517986,3446,16,423,2024-05-01,ICB,,ICB|QOX
QPM,NHS NORTHAMPTONSHIRE INTEGRATED CARE BOARD,C_999,Total,90268,57011,0.631574865954713,12.5845170454545,42.3166563467492,2580,15,445,2024-05-01,ICB,,ICB|QPM
QR1,NHS GLOUCESTERSHIRE INTEGRATED CARE BOARD,C_999,Total,75279,49301,0.654910399978746,11.8377630121816,43.5744660194175,3009,13,550,2024-05-01,ICB,,ICB|QR1
QRL,NHS HAMPSHIRE AND ISLE OF WIGHT INTEGRATED CARE BOARD,C_999,Total,196843,117906,0.598984977875769,13.7511082379017,44.6422089552239,8050,149,1499,2024-05-01,ICB,,ICB|QRL
QRV,NHS NORTH WEST LONDON INTEGRATED CARE BOARD,C_999,Total,318793,183825,0.576628094092405,14.8991581259151,43.9055573770492,10573,775,2632,2024-05-01,ICB,,ICB|QRV
QSL,NHS SOMERSET INTEGRATED CARE BOARD,C_999,Total,65525,42709,0.651797024036627,11.82,42.2371428571429,2310,34,524,2024-05-01,ICB,,ICB|QSL
QT1,NHS NOTTINGHAM AND NOTTINGHAMSHIRE INTEGRATED CARE BOARD,C_999,Total,131157,76400,0.582507986611466,14.3686427457098,45.1645676274945,5167,10,635,2024-05-01,ICB,,ICB|QT1
QT6,NHS CORNWALL AND THE ISLES OF SCILLY INTEGRATED CARE BOARD,C_999,Total,57425,37887,0.659764910753156,11.6004004576659,43.1231231231231,2268,104,581,2024-05-01,ICB,,ICB|QT6
QU9,"NHS BUCKINGHAMSHIRE, OXFORDSHIRE AND BERKSHIRE WEST INTEGRATED CARE BOARD",C_999,Total,168302,104872,0.623117966512579,13.2854911150166,44.1769393647738,6147,79,1081,2024-05-01,ICB,,ICB|QU9
QUA,NHS BLACK COUNTRY INTEGRATED CARE BOARD,C_999,Total,193265,108916,0.563557809225674,15.2413598373616,45.2491758241758,6925,13,816,2024-05-01,ICB,,ICB|QUA
QUE,NHS CAMBRIDGESHIRE AND PETERBOROUGH INTEGRATED CARE BOARD,C_999,Total,117532,64059,0.545034543783821,15.9492616433169,48.7806929510155,7148,55,1408,2024-05-01,ICB,,ICB|QUE
QUY,"NHS BRISTOL, NORTH SOMERSET AND SOUTH GLOUCESTERSHIRE INTEGRATED CARE BOARD",C_999,Total,92692,58949,0.635966426444569,12.2521706304266,42.9724731182796,2876,14,282,2024-05-01,ICB,,ICB|QUY
QVV,NHS DORSET INTEGRATED CARE BOARD,C_999,Total,96641,58461,0.604929584751814,13.9309440559441,46.3933561643836,4810,21,750,2024-05-01,ICB,,ICB|QVV
QWE,NHS SOUTH WEST LONDON INTEGRATED CARE BOARD,C_999,Total,191158,128619,0.672841314514695,11.9136969321351,37.240696584059,2930,32,442,2024-05-01,ICB,,ICB|QWE
QWO,NHS WEST YORKSHIRE INTEGRATED CARE BOARD,C_999,Total,247903,161974,0.653376522268791,11.8541863287043,40.9269599474721,6682,22,1020,2024-05-01,ICB,,ICB|QWO
QWU,NHS COVENTRY AND WARWICKSHIRE INTEGRATED CARE BOARD,C_999,Total,119082,69242,0.581464872944694,14.7197554697555,42.9719011406844,3261,50,447,2024-05-01,ICB,,ICB|QWU
QXU,NHS SURREY HEARTLANDS INTEGRATED CARE BOARD,C_999,Total,153670,96644,0.628906097481616,13.1498910675381,40.0566990291262,3364,64,601,2024-05-01,ICB,,ICB|QXU
QYG,NHS CHESHIRE AND MERSEYSIDE INTEGRATED CARE BOARD,C_999,Total,368776,212473,0.576157342126386,14.7308905077743,45.4605108654213,14615,97,2331,2024-05-01,ICB,,ICB|QYG
-,NHS ENGLAND,C_999,Total,167137,101434,0.606891352602954,13.9311122909477,44.1872227873856,6265,115,1009,2024-06-01,Region,,Region|-
Y56,LONDON COMMISSIONING REGION,C_999,Total,1221648,738031,0.60412737547968,13.9015598044853,42.942417374882,40667,438,8635,2024-06-01,Region,,Region|Y56
Y58,SOUTH WEST COMMISSIONING REGION,C_999,Total,651541,405091,0.62174291410671,12.7604993942657,43.7805841121495,25338,226,4882,2024-06-01,Region,,Region|Y58
Y59,SOUTH EAST COMMISSIONING REGION,C_999,Total,1128883,658489,0.583310227897842,14.5819251188452,45.5380316052121,52248,920,13276,2024-06-01,Region,,Region|Y59
Y60,MIDLANDS COMMISSIONING REGION,C_999,Total,1445213,819596,0.567110868778512,15.1625886278326,44.8387497565725,54708,119,8707,2024-06-01,Region,,Region|Y60
Y61,EAST OF ENGLAND COMMISSIONING REGION,C_999,Total,932410,513882,0.551133085230746,15.7847919029753,47.5495215686275,50100,583,11473,2024-06-01,Region,,Region|Y61
Y62,NORTH WEST COMMISSIONING REGION,C_999,Total,1063804,593643,0.558037946839831,15.4964305949009,46.5625394362555,48510,137,6897,2024-06-01,Region,,Region|Y62
Y63,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,C_999,Total,1010661,656916,0.649986493987598,11.8014962014398,40.2052931424265,24857,83,3145,2024-06-01,Region,,Region|Y63
-,NHS ENGLAND,C_999,Total,167137,101434,0.606891352602954,13.9311122909477,44.1872227873856,6265,115,1009,2024-06-01,ICB,,ICB|-
QE1,NHS LANCASHIRE AND SOUTH CUMBRIA INTEGRATED CARE BOARD,C_999,Total,241638,142764,0.590817669406302,14.2293089092423,44.779626730885,9408,13,1101,2024-06-01,ICB,,ICB|QE1
QF7,NHS SOUTH YORKSHIRE INTEGRATED CARE BOARD,C_999,Total,193570,122318,0.631905770522292,12.3983459682977,41.5133231240429,5497,16,668,2024-06-01,ICB,,ICB|QF7
QGH,NHS HEREFORDSHIRE AND WORCESTERSHIRE INTEGRATED CARE BOARD,C_999,Total,102087,58097,0.569093028495303,15.2239862280031,43.3649087893864,3576,13,590,2024-06-01,ICB,,ICB|QGH
QH8,NHS MID AND SOUTH ESSEX INTEGRATED CARE BOARD,C_999,Total,191802,105625,0.550698115765216,15.8770937567979,46.447132243685,9033,32,2012,2024-06-01,ICB,,ICB|QH8
QHG,"NHS BEDFORDSHIRE, LUTON AND MILTON KEYNES INTEGRATED CARE BOARD",C_999,Total,145740,74974,0.514436668038974,17.3616504854369,49.5218436873748,9289,98,2209,2024-06-01,ICB,,ICB|QHG
QHL,NHS BIRMINGHAM AND SOLIHULL INTEGRATED CARE BOARD,C_999,Total,194944,104566,0.536389937623112,16.3439740920657,46.1440605296343,7649,6,487,2024-06-01,ICB,,ICB|QHL
QHM,NHS NORTH EAST AND NORTH CUMBRIA INTEGRATED CARE BOARD,C_999,Total,359198,247420,0.688812298509457,10.8555104495565,37.4426949775419,6722,43,871,2024-06-01,ICB,,ICB|QHM
QJ2,NHS DERBY AND DERBYSHIRE INTEGRATED CARE BOARD,C_999,Total,125885,72080,0.572586090479406,14.9944041137326,45.5755056179775,5353,14,1050,2024-06-01,ICB,,ICB|QJ2
QJG,NHS SUFFOLK AND NORTH EAST ESSEX INTEGRATED CARE BOARD,C_999,Total,131620,76068,0.577936483817049,14.5971056439942,46.4121137206428,6335,92,1317,2024-06-01,ICB,,ICB|QJG
QJK,NHS DEVON INTEGRATED CARE BOARD,C_999,Total,155016,91257,0.588694070289518,14.1809201975565,45.4943609756098,6984,131,1672,2024-06-01,ICB,,ICB|QJK
QJM,NHS LINCOLNSHIRE INTEGRATED CARE BOARD,C_999,Total,115340,62137,0.538728975203745,16.2804372408594,46.5081339712919,5258,10,827,2024-06-01,ICB,,ICB|QJM
QK1,"NHS LEICESTER, LEICESTERSHIRE AND RUTLAND INTEGRATED CARE BOARD",C_999,Total,126605,74559,0.58891039058489,14.6217004723534,41.0294573643411,2865,13,326,2024-06-01,ICB,,ICB|QK1
QKK,NHS SOUTH EAST LONDON INTEGRATED CARE BOARD,C_999,Total,259514,150903,0.58148307991091,14.6883720930233,46.2182448537378,12125,115,2593,2024-06-01,ICB,,ICB|QKK
QKS,NHS KENT AND MEDWAY INTEGRATED CARE BOARD,C_999,Total,242940,145372,0.598386432864082,13.9587699707954,44.4418826739427,10622,266,2981,2024-06-01,ICB,,ICB|QKS
QM7,NHS HERTFORDSHIRE AND WEST ESSEX INTEGRATED CARE BOARD,C_999,Total,199027,114371,0.574650675536485,15.1045388261028,45.1530888345558,8726,70,1844,2024-06-01,ICB,,ICB|QM7
QMF,NHS NORTH EAST LONDON INTEGRATED CARE BOARD,C_999,Total,255832,155719,0.608676787892054,13.4856178977273,43.0815965166909,8557,151,2031,2024-06-01,ICB,,ICB|QMF
QMJ,NHS NORTH CENTRAL LONDON INTEGRATED CARE BOARD,C_999,Total,192699,119227,0.618721425643101,13.2695603156708,41.8575243810953,6214,59,1507,2024-06-01,ICB,,ICB|QMJ
QMM,NHS NORFOLK AND WAVENEY INTEGRATED CARE BOARD,C_999,Total,146869,78095,0.531732360130456,16.4791416566627,50.6025418060201,10524,271,3053,2024-06-01,ICB,,ICB|QMM
QNC,NHS STAFFORDSHIRE AND STOKE-ON-TRENT INTEGRATED CARE BOARD,C_999,Total,160616,91138,0.567427902575086,14.9159775940251,45.4274285714286,6683,25,1516,2024-06-01,ICB,,ICB|QNC
QNQ,NHS FRIMLEY INTEGRATED CARE BOARD,C_999,Total,88391,46593,0.527123802197056,16.7569159836066,47.7946511627907,4586,16,604,2024-06-01,ICB,,ICB|QNQ
QNX,NHS SUSSEX INTEGRATED CARE BOARD,C_999,Total,279430,148488,0.531396056257381,16.5921114415401,50.2488020176545,19661,333,6126,2024-06-01,ICB,,ICB|QNX
QOC,"NHS SHROPSHIRE, TELFORD AND WREKIN INTEGRATED CARE BOARD",C_999,Total,83531,42802,0.512408566879362,17.4595933263816,50.4214538310413,5851,5,1438,2024-06-01,ICB,,ICB|QOC
