Provider Code,Provider Name,Provider Parent Code,Provider Parent Name
REP,LIVERPOOL WOMEN'S NHS FOUNDATION TRUST,QYG,NHS CHESHIRE AND MERSEYSIDE INTEGRATED CARE BOARD
NR5,LIVEWELL SOUTHWEST,QJK,NHS DEVON INTEGRATED CARE BOARD
NL8,LOCALA COMMUNITY PARTNERSHIPS CIC,QWO,NHS WEST YORKSHIRE INTEGRATED CARE BOARD
NT422,LONDON INDEPENDENT HOSPITAL,QMF,NHS NORTH EAST LONDON INTEGRATED CARE BOARD
R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,QRV,NHS NORTH WEST LONDON INTEGRATED CARE BOARD
RWF,MAIDSTONE AND TUNBRIDGE WELLS NHS TRUST,QKS,NHS KENT AND MEDWAY INTEGRATED CARE BOARD
NN5,MANCHESTER SURGICAL SERVICES LTD,QOP,NHS GREATER MANCHESTER INTEGRATED CARE BOARD
R0A,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,QOP,NHS GREATER MANCHESTER INTEGRATED CARE BOARD
NT423,MANOR HOSPITAL,QHG,"NHS BEDFORDSHIRE, LUTON AND MILTON KEYNES INTEGRATED CARE BOARD"
AY1,MEDEFER,QMJ,NHS NORTH CENTRAL LONDON INTEGRATED CARE BOARD
RPA,MEDWAY NHS FOUNDATION TRUST,QKS,NHS KENT AND MEDWAY INTEGRATED CARE BOARD
NT424,MERIDEN HOSPITAL,QWU,NHS COVENTRY AND WARWICKSHIRE INTEGRATED CARE BOARD
RBN,MERSEY AND WEST LANCASHIRE TEACHING HOSPITALS NHS TRUST,QYG,NHS CHESHIRE AND MERSEYSIDE INTEGRATED CARE BOARD
RW4,MERSEY CARE NHS FOUNDATION TRUST,QYG,NHS CHESHIRE AND MERSEYSIDE INTEGRATED CARE BOARD
RAJ,MID AND SOUTH ESSEX NHS FOUNDATION TRUST,QH8,NHS MID AND SOUTH ESSEX INTEGRATED CARE BOARD
RBT,MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST,QYG,NHS CHESHIRE AND MERSEYSIDE INTEGRATED CARE BOARD
RXF,MID YORKSHIRE TEACHING NHS TRUST,QWO,NHS WEST YORKSHIRE INTEGRATED CARE BOARD
S4E3I,MIDLAND EYE (EYE-DOCS LTD),QHL,NHS BIRMINGHAM AND SOLIHULL INTEGRATED CARE BOARD
RRE,MIDLANDS PARTNERSHIP NHS FOUNDATION TRUST,QNC,NHS STAFFORDSHIRE AND STOKE-ON-TRENT INTEGRATED CARE BOARD
RRE,MIDLANDS PARTNERSHIP UNIVERSITY NHS FOUNDATION TRUST,QNC,NHS STAFFORDSHIRE AND STOKE-ON-TRENT INTEGRATED CARE BOARD
RD8,MILTON KEYNES UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,QHG,"NHS BEDFORDSHIRE, LUTON AND MILTON KEYNES INTEGRATED CARE BOARD"
RP6,MOORFIELDS EYE HOSPITAL NHS FOUNDATION TRUST,QMJ,NHS NORTH CENTRAL LONDON INTEGRATED CARE BOARD
NT455,MOUNT ALVERNIA HOSPITAL,QXU,NHS SURREY HEARTLANDS INTEGRATED CARE BOARD
NVC08,MOUNT STUART HOSPITAL,QJK,NHS DEVON INTEGRATED CARE BOARD
NVC09,NEW HALL HOSPITAL,QOX,"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE INTEGRATED CARE BOARD"
R7W2O,NEWCASTLE NEWMEDICA LTD,QHM,NHS NORTH EAST AND NORTH CUMBRIA INTEGRATED CARE BOARD
N8R1N,NEWMEDICA - BERKSHIRE,QNQ,NHS FRIMLEY INTEGRATED CARE BOARD
C5Y9L,NEWMEDICA - BERKSHIRE - BRACKNELL,QNQ,NHS FRIMLEY INTEGRATED CARE BOARD
S1Z4X,NEWMEDICA - BIRMINGHAM,QHL,NHS BIRMINGHAM AND SOLIHULL INTEGRATED CARE BOARD
C9A7J,NEWMEDICA - BRADFORD & HUDDERSFIELD,QWO,NHS WEST YORKSHIRE INTEGRATED CARE BOARD
ACG22,NEWMEDICA - BRIGG - RIVERSIDE SURGERY,QOQ,NHS HUMBER AND NORTH YORKSHIRE INTEGRATED CARE BOARD
ACG20,NEWMEDICA - BRISTOL - LITFIELD HOUSE,QUY,"NHS BRISTOL, NORTH SOMERSET AND SOUTH GLOUCESTERSHIRE INTEGRATED CARE BOARD"
H2K1G,NEWMEDICA - BROMSGROVE,QGH,NHS HEREFORDSHIRE AND WORCESTERSHIRE INTEGRATED CARE BOARD
Q1S8W,NEWMEDICA - BURY ST EDMUNDS,QJG,NHS SUFFOLK AND NORTH EAST ESSEX INTEGRATED CARE BOARD
F1Y1H,NEWMEDICA - CHESHIRE OAKS,QYG,NHS CHESHIRE AND MERSEYSIDE INTEGRATED CARE BOARD
F0R0W,NEWMEDICA - DARLINGTON,QHM,NHS NORTH EAST AND NORTH CUMBRIA INTEGRATED CARE BOARD
ACG36,NEWMEDICA - EXETER - GLEN HOUSE,QJK,NHS DEVON INTEGRATED CARE BOARD
ACG13,NEWMEDICA - GLOUCESTER (ASPEN MEDICAL CENTRE),QR1,NHS GLOUCESTERSHIRE INTEGRATED CARE BOARD
L0D9W,NEWMEDICA - GLOUCESTER (BRIGHOUSE COURT),QR1,NHS GLOUCESTERSHIRE INTEGRATED CARE BOARD
L4R3R,NEWMEDICA - HAMPSHIRE,QRL,NHS HAMPSHIRE AND ISLE OF WIGHT INTEGRATED CARE BOARD
Z1E5F,NEWMEDICA - HARROGATE,QOQ,NHS HUMBER AND NORTH YORKSHIRE INTEGRATED CARE BOARD
F7F6D,NEWMEDICA - HERTFORSHIRE - WELWYN GARDEN CITY,QM7,NHS HERTFORDSHIRE AND WEST ESSEX INTEGRATED CARE BOARD
ACG37,NEWMEDICA - IPSWICH,QJG,NHS SUFFOLK AND NORTH EAST ESSEX INTEGRATED CARE BOARD
ACG38,NEWMEDICA - LANGFORD,QUY,"NHS BRISTOL, NORTH SOMERSET AND SOUTH GLOUCESTERSHIRE INTEGRATED CARE BOARD"
N6Z0R,NEWMEDICA - LINCOLN,QJM,NHS LINCOLNSHIRE INTEGRATED CARE BOARD
Z2L9B,NEWMEDICA - MANCHESTER WEST,QOP,NHS GREATER MANCHESTER INTEGRATED CARE BOARD
ACG26,NEWMEDICA - NORTH DERBYSHIRE - MIDLAND COURT,QJ2,NHS DERBY AND DERBYSHIRE INTEGRATED CARE BOARD
M4C5R,NEWMEDICA - NORTHAMPTON,QPM,NHS NORTHAMPTONSHIRE INTEGRATED CARE BOARD
B5M7B,NEWMEDICA - NORWICH,QMM,NHS NORFOLK AND WAVENEY INTEGRATED CARE BOARD
B1A5K,NEWMEDICA - NOTTINGHAM,QT1,NHS NOTTINGHAM AND NOTTINGHAMSHIRE INTEGRATED CARE BOARD
M6L9D,NEWMEDICA - NOTTINGHAM - KEYWORTH,QT1,NHS NOTTINGHAM AND NOTTINGHAMSHIRE INTEGRATED CARE BOARD
J3J8Z,NEWMEDICA - OXFORDSHIRE,QU9,"NHS BUCKINGHAMSHIRE, OXFORDSHIRE AND BERKSHIRE WEST INTEGRATED CARE BOARD"
P5Y6K,NEWMEDICA - SHREWSBURY,QOC,"NHS SHROPSHIRE, TELFORD AND WREKIN INTEGRATED CARE BOARD"
ACG39,NEWMEDICA - SWINDON,QOX,"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE INTEGRATED CARE BOARD"
D0V5X,NEWMEDICA - SWINDON MURDOCK ROAD,QOX,"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE INTEGRATED CARE BOARD"
ACG24,NEWMEDICA - TEESSIDE - NORTH ORMESBY,QHM,NHS NORTH EAST AND NORTH CUMBRIA INTEGRATED CARE BOARD
ACG40,NEWMEDICA - WAKEFIELD,QWO,NHS WEST YORKSHIRE INTEGRATED CARE BOARD
ACG31,NEWMEDICA - WORCESTER,QGH,NHS HEREFORDSHIRE AND WORCESTERSHIRE INTEGRATED CARE BOARD
ACG30,NEWMEDICA - WORKSOP - DUKERIES,QT1,NHS NOTTINGHAM AND NOTTINGHAMSHIRE INTEGRATED CARE BOARD
R3I5E,NEWMEDICA -TELFORD,QOC,"NHS SHROPSHIRE, TELFORD AND WREKIN INTEGRATED CARE BOARD"
H4J9P,NEWMEDICA AZTEC WEST,QUY,"NHS BRISTOL, NORTH SOMERSET AND SOUTH GLOUCESTERSHIRE INTEGRATED CARE BOARD"
ACG19,NEWMEDICA COMMUNITY OPHTHALMOLOGY - LEEDS,QWO,NHS WEST YORKSHIRE INTEGRATED CARE BOARD
ACG12,NEWMEDICA COMMUNITY OPHTHALMOLOGY - NORTH EAST LINCOLNSHIRE - GRIMSBY,QOQ,NHS HUMBER AND NORTH YORKSHIRE INTEGRATED CARE BOARD
