Provider Code,Provider Name,Provider Parent Code,Provider Parent Name
NT230,"NUFFIELD HEALTH, NORTH STAFFORDSHIRE HOSPITAL",QNC,NHS STAFFORDSHIRE AND STOKE-ON-TRENT INTEGRATED CARE BOARD
NT233,"NUFFIELD HEALTH, PLYMOUTH HOSPITAL",QJK,NHS DEVON INTEGRATED CARE BOARD
NT235,"NUFFIELD HEALTH, SHREWSBURY HOSPITAL",QOC,"NHS SHROPSHIRE, TELFORD AND WREKIN INTEGRATED CARE BOARD"
NT238,"NUFFIELD HEALTH, TAUNTON HOSPITAL",QSL,NHS SOMERSET INTEGRATED CARE BOARD
NT237,"NUFFIELD HEALTH, TEES HOSPITAL",QHM,NHS NORTH EAST AND NORTH CUMBRIA INTEGRATED CARE BOARD
NT210,"NUFFIELD HEALTH, THE GROSVENOR HOSPITAL, CHESTER",QYG,NHS CHESHIRE AND MERSEYSIDE INTEGRATED CARE BOARD
NT239,"NUFFIELD HEALTH, TUNBRIDGE WELLS HOSPITAL",QKS,NHS KENT AND MEDWAY INTEGRATED CARE BOARD
NT224,"NUFFIELD HEALTH, WARWICKSHIRE HOSPITAL",QWU,NHS COVENTRY AND WARWICKSHIRE INTEGRATED CARE BOARD
NT214,"NUFFIELD HEALTH, WESSEX HOSPITAL",QRL,NHS HAMPSHIRE AND ISLE OF WIGHT INTEGRATED CARE BOARD
NT241,"NUFFIELD HEALTH, WOKING HOSPITAL",QXU,NHS SURREY HEARTLANDS INTEGRATED CARE BOARD
NT242,"NUFFIELD HEALTH, WOLVERHAMPTON HOSPITAL",QUA,NHS BLACK COUNTRY INTEGRATED CARE BOARD
NT245,"NUFFIELD HEALTH, YORK HOSPITAL",QOQ,NHS HUMBER AND NORTH YORKSHIRE INTEGRATED CARE BOARD
NT244,NUFFIELD HOSPITAL OXFORD (THE MANOR),QU9,"NHS BUCKINGHAMSHIRE, OXFORDSHIRE AND BERKSHIRE WEST INTEGRATED CARE BOARD"
NVC12,OAKLANDS HOSPITAL,QOP,NHS GREATER MANCHESTER INTEGRATED CARE BOARD
NVC13,OAKS HOSPITAL,QJG,NHS SUFFOLK AND NORTH EAST ESSEX INTEGRATED CARE BOARD
DXV,OMNES HEALTHCARE LTD,QOP,NHS GREATER MANCHESTER INTEGRATED CARE BOARD
AVQ01,ONE ASHFORD HOSPITAL,QKS,NHS KENT AND MEDWAY INTEGRATED CARE BOARD
AVQ03,ONE HATFIELD HOSPITAL,QM7,NHS HERTFORDSHIRE AND WEST ESSEX INTEGRATED CARE BOARD
AWR,ONE STOP DOCTORS LIMITED,QM7,NHS HERTFORDSHIRE AND WEST ESSEX INTEGRATED CARE BOARD
NNH,OPTEGRA UK,QXU,NHS SURREY HEARTLANDS INTEGRATED CARE BOARD
NQM01,ORTHOPAEDICS & SPINE SPECIALIST HOSPITAL SITE,QUE,NHS CAMBRIDGESHIRE AND PETERBOROUGH INTEGRATED CARE BOARD
Q2Y5H,OVIVA UK LTD,QKK,NHS SOUTH EAST LONDON INTEGRATED CARE BOARD
RTH,OXFORD UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,QU9,"NHS BUCKINGHAMSHIRE, OXFORDSHIRE AND BERKSHIRE WEST INTEGRATED CARE BOARD"
RPG,OXLEAS NHS FOUNDATION TRUST,QKK,NHS SOUTH EAST LONDON INTEGRATED CARE BOARD
NVC14,PARK HILL HOSPITAL,QF7,NHS SOUTH YORKSHIRE INTEGRATED CARE BOARD
NT427,PARK HOSPITAL,QT1,NHS NOTTINGHAM AND NOTTINGHAMSHIRE INTEGRATED CARE BOARD
V3J9W,PASTEL HEALTH,QMF,NHS NORTH EAST LONDON INTEGRATED CARE BOARD
NEQ,PHOENIX HEALTH SOLUTIONS LIMITED HQ,QWO,NHS WEST YORKSHIRE INTEGRATED CARE BOARD
DTT,PHOENIX PUBLIC HEALTH LTD,QYG,NHS CHESHIRE AND MERSEYSIDE INTEGRATED CARE BOARD
NVC15,PINEHILL HOSPITAL,QM7,NHS HERTFORDSHIRE AND WEST ESSEX INTEGRATED CARE BOARD
NEY,PIONEER HEALTHCARE LIMITED,QF7,NHS SOUTH YORKSHIRE INTEGRATED CARE BOARD
NEY,PIONEER HEALTHCARE LIMITED,QRL,NHS HAMPSHIRE AND ISLE OF WIGHT INTEGRATED CARE BOARD
D3O0Z,PLYMOUTH NEWMEDICA LTD,QJK,NHS DEVON INTEGRATED CARE BOARD
RHU,PORTSMOUTH HOSPITALS UNIVERSITY NATIONAL HEALTH SERVICE TRUST,QRL,NHS HAMPSHIRE AND ISLE OF WIGHT INTEGRATED CARE BOARD
RHU,PORTSMOUTH HOSPITALS UNIVERSITY NHS TRUST,QRL,NHS HAMPSHIRE AND ISLE OF WIGHT INTEGRATED CARE BOARD
NTP13,PRACTICE PLUS GROUP HOSPITAL - BARLBOROUGH,QJ2,NHS DERBY AND DERBYSHIRE INTEGRATED CARE BOARD
NTPH2,PRACTICE PLUS GROUP HOSPITAL - EMERSONS GREEN,QUY,"NHS BRISTOL, NORTH SOMERSET AND SOUTH GLOUCESTERSHIRE INTEGRATED CARE BOARD"
NTP15,PRACTICE PLUS GROUP HOSPITAL - ILFORD,QMF,NHS NORTH EAST LONDON INTEGRATED CARE BOARD
NTPH5,PRACTICE PLUS GROUP HOSPITAL - PLYMOUTH,QJK,NHS DEVON INTEGRATED CARE BOARD
NTPH1,PRACTICE PLUS GROUP HOSPITAL - SHEPTON MALLET,QSL,NHS SOMERSET INTEGRATED CARE BOARD
NTP11,PRACTICE PLUS GROUP HOSPITAL - SOUTHAMPTON,QRL,NHS HAMPSHIRE AND ISLE OF WIGHT INTEGRATED CARE BOARD
M2Y6D,PRACTICE PLUS GROUP HOSPITAL BIRMINGHAM,QHL,NHS BIRMINGHAM AND SOLIHULL INTEGRATED CARE BOARD
NTPAE,PRACTICE PLUS GROUP OPHTHALMOLOGY - NORTH WEST,QOP,NHS GREATER MANCHESTER INTEGRATED CARE BOARD
NTPH3,PRACTICE PLUS GROUP SURGICAL CENTRE - DEVIZES,QOX,"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE INTEGRATED CARE BOARD"
NTP16,PRACTICE PLUS GROUP SURGICAL CENTRE - GILLINGHAM,QKS,NHS KENT AND MEDWAY INTEGRATED CARE BOARD
NTPAD,PRACTICE PLUS GROUP SURGICAL CENTRE - ST MARYS PORTSMOUTH,QRL,NHS HAMPSHIRE AND ISLE OF WIGHT INTEGRATED CARE BOARD
ADN,PRIMARY INTEGRATED COMMUNITY SERVICES LTD,QT1,NHS NOTTINGHAM AND NOTTINGHAMSHIRE INTEGRATED CARE BOARD
NT428,PRINCESS MARGARET HOSPITAL,QNQ,NHS FRIMLEY INTEGRATED CARE BOARD
NT429,PRIORY HOSPITAL,QHL,NHS BIRMINGHAM AND SOLIHULL INTEGRATED CARE BOARD
NAM01,PROBUS SURGICAL CENTRE,QT6,NHS CORNWALL AND THE ISLES OF SCILLY INTEGRATED CARE BOARD
NQX,PROVIDE ENTERPRISES,QJG,NHS SUFFOLK AND NORTH EAST ESSEX INTEGRATED CARE BOARD
NQX01,PROVIDE WELLBEING @ TOLLGATE CLINIC,QJG,NHS SUFFOLK AND NORTH EAST ESSEX INTEGRATED CARE BOARD
RPC,QUEEN VICTORIA HOSPITAL NHS FOUNDATION TRUST,QNX,NHS SUSSEX INTEGRATED CARE BOARD
GEC01,RAPID INVESTIGATION SERVICE,QRL,NHS HAMPSHIRE AND ISLE OF WIGHT INTEGRATED CARE BOARD
NVC16,RENACRES HOSPITAL,QE1,NHS LANCASHIRE AND SOUTH CUMBRIA INTEGRATED CARE BOARD
NT430,RIDGEWAY HOSPITAL,QOX,"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE INTEGRATED CARE BOARD"
NVC19,RIVERS HOSPITAL,QM7,NHS HERTFORDSHIRE AND WEST ESSEX INTEGRATED CARE BOARD
NVC17,ROWLEY HALL HOSPITAL,QNC,NHS STAFFORDSHIRE AND STOKE-ON-TRENT INTEGRATED CARE BOARD
RHW,ROYAL BERKSHIRE NHS FOUNDATION TRUST,QU9,"NHS BUCKINGHAMSHIRE, OXFORDSHIRE AND BERKSHIRE WEST INTEGRATED CARE BOARD"
REF,ROYAL CORNWALL HOSPITALS NHS TRUST,QT6,NHS CORNWALL AND THE ISLES OF SCILLY INTEGRATED CARE BOARD
RH8,ROYAL DEVON UNIVERSITY HEALTHCARE NHS FOUNDATION TRUST,QJK,NHS DEVON INTEGRATED CARE BOARD
RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,QMJ,NHS NORTH CENTRAL LONDON INTEGRATED CARE BOARD
RAN,ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST,QRV,NHS NORTH WEST LONDON INTEGRATED CARE BOARD
RGM,ROYAL PAPWORTH HOSPITAL NHS FOUNDATION TRUST,QUE,NHS CAMBRIDGESHIRE AND PETERBOROUGH INTEGRATED CARE BOARD
RA2,ROYAL SURREY COUNTY HOSPITAL NHS FOUNDATION TRUST,QXU,NHS SURREY HEARTLANDS INTEGRATED CARE BOARD
RA2,ROYAL SURREY NHS FOUNDATION TRUST,QXU,NHS SURREY HEARTLANDS INTEGRATED CARE BOARD
RD1,ROYAL UNITED HOSPITALS BATH NHS FOUNDATION TRUST,QOX,"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE INTEGRATED CARE BOARD"
NT431,RUNNYMEDE HOSPITAL,QXU,NHS SURREY HEARTLANDS INTEGRATED CARE BOARD
RNZ,SALISBURY NHS FOUNDATION TRUST,QOX,"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE INTEGRATED CARE BOARD"
RXK,SANDWELL AND WEST BIRMINGHAM HOSPITALS NHS TRUST,QHL,NHS BIRMINGHAM AND SOLIHULL INTEGRATED CARE BOARD
RXK,SANDWELL AND WEST BIRMINGHAM HOSPITALS NHS TRUST,QUA,NHS BLACK COUNTRY INTEGRATED CARE BOARD
NT433,SARUM ROAD HOSPITAL,QRL,NHS HAMPSHIRE AND ISLE OF WIGHT INTEGRATED CARE BOARD
NT434,SAXON CLINIC,QHG,"NHS BEDFORDSHIRE, LUTON AND MILTON KEYNES INTEGRATED CARE BOARD"
RCU,SHEFFIELD CHILDREN'S NHS FOUNDATION TRUST,QF7,NHS SOUTH YORKSHIRE INTEGRATED CARE BOARD
RHQ,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,QF7,NHS SOUTH YORKSHIRE INTEGRATED CARE BOARD
NT435,SHELBURNE HOSPITAL,QU9,"NHS BUCKINGHAMSHIRE, OXFORDSHIRE AND BERKSHIRE WEST INTEGRATED CARE BOARD"
RK5,SHERWOOD FOREST HOSPITALS NHS FOUNDATION TRUST,QT1,NHS NOTTINGHAM AND NOTTINGHAMSHIRE INTEGRATED CARE BOARD
NT436,SHIRLEY OAKS HOSPITAL,QWE,NHS SOUTH WEST LONDON INTEGRATED CARE BOARD
R1D,SHROPSHIRE COMMUNITY HEALTH NHS TRUST,QOC,"NHS SHROPSHIRE, TELFORD AND WREKIN INTEGRATED CARE BOARD"
NLX,SIRONA CARE & HEALTH,QUY,"NHS BRISTOL, NORTH SOMERSET AND SOUTH GLOUCESTERSHIRE INTEGRATED CARE BOARD"
NT437,SLOANE HOSPITAL,QKK,NHS SOUTH EAST LONDON INTEGRATED CARE BOARD
R1C,SOLENT NHS TRUST,QRL,NHS HAMPSHIRE AND ISLE OF WIGHT INTEGRATED CARE BOARD
RH5,SOMERSET NHS FOUNDATION TRUST,QSL,NHS SOMERSET INTEGRATED CARE BOARD
NFH,SOMERSET SURGICAL SERVICES HQ,QUY,"NHS BRISTOL, NORTH SOMERSET AND SOUTH GLOUCESTERSHIRE INTEGRATED CARE BOARD"
RTR,SOUTH TEES HOSPITALS NHS FOUNDATION TRUST,QHM,NHS NORTH EAST AND NORTH CUMBRIA INTEGRATED CARE BOARD
R0B,SOUTH TYNESIDE AND SUNDERLAND NHS FOUNDATION TRUST,QHM,NHS NORTH EAST AND NORTH CUMBRIA INTEGRATED CARE BOARD
RJC,SOUTH WARWICKSHIRE UNIVERSITY NHS FOUNDATION TRUST,QWU,NHS COVENTRY AND WARWICKSHIRE INTEGRATED CARE BOARD
RXG,SOUTH WEST YORKSHIRE PARTNERSHIP NHS FOUNDATION TRUST,QWO,NHS WEST YORKSHIRE INTEGRATED CARE BOARD
NT490,SOUTHEND PRIVATE HOSPITAL,QH8,NHS MID AND SOUTH ESSEX INTEGRATED CARE BOARD
RW1,SOUTHERN HEALTH NHS FOUNDATION TRUST,QRL,NHS HAMPSHIRE AND ISLE OF WIGHT INTEGRATED CARE BOARD
NPG19,SPAMEDICA BEDFORD,QHG,"NHS BEDFORDSHIRE, LUTON AND MILTON KEYNES INTEGRATED CARE BOARD"
D5P5H,SPAMEDICA BEXHILL,QNX,NHS SUSSEX INTEGRATED CARE BOARD
NPG11,SPAMEDICA BIRMINGHAM,QHL,NHS BIRMINGHAM AND SOLIHULL INTEGRATED CARE BOARD
C3Y0A,SPAMEDICA BLACKPOOL,QE1,NHS LANCASHIRE AND SOUTH CUMBRIA INTEGRATED CARE BOARD
NPG08,SPAMEDICA BOLTON,QOP,NHS GREATER MANCHESTER INTEGRATED CARE BOARD
I2C7H,SPAMEDICA BRADFORD,QWO,NHS WEST YORKSHIRE INTEGRATED CARE BOARD
I9A4A,SPAMEDICA BRIGHTON,QNX,NHS SUSSEX INTEGRATED CARE BOARD
P1B7M,SPAMEDICA BRISTOL,QUY,"NHS BRISTOL, NORTH SOMERSET AND SOUTH GLOUCESTERSHIRE INTEGRATED CARE BOARD"
Y8L9S,SPAMEDICA BROMLEY,QKK,NHS SOUTH EAST LONDON INTEGRATED CARE BOARD
O6X7Z,SPAMEDICA CAMBRIDGE,QUE,NHS CAMBRIDGESHIRE AND PETERBOROUGH INTEGRATED CARE BOARD
E1U4T,SPAMEDICA CARLISLE,QHM,NHS NORTH EAST AND NORTH CUMBRIA INTEGRATED CARE BOARD
NPG16,SPAMEDICA CHELMSFORD,QH8,NHS MID AND SOUTH ESSEX INTEGRATED CARE BOARD
V4U1Y,SPAMEDICA CHESTER,QYG,NHS CHESHIRE AND MERSEYSIDE INTEGRATED CARE BOARD
T4I8V,SPAMEDICA CHESTERFIELD,QJ2,NHS DERBY AND DERBYSHIRE INTEGRATED CARE BOARD
J2H6H,SPAMEDICA COLCHESTER,QJG,NHS SUFFOLK AND NORTH EAST ESSEX INTEGRATED CARE BOARD
NPG21,SPAMEDICA COVENTRY,QWU,NHS COVENTRY AND WARWICKSHIRE INTEGRATED CARE BOARD
N1N0Y,SPAMEDICA CROYDON,QWE,NHS SOUTH WEST LONDON INTEGRATED CARE BOARD
V8N5R,SPAMEDICA DALSTON,QMF,NHS NORTH EAST LONDON INTEGRATED CARE BOARD
NPG23,SPAMEDICA DERBY,QJ2,NHS DERBY AND DERBYSHIRE INTEGRATED CARE BOARD
T8V3L,SPAMEDICA DONCASTER,QF7,NHS SOUTH YORKSHIRE INTEGRATED CARE BOARD
H4Y7F,SPAMEDICA DORCHESTER,QVV,NHS DORSET INTEGRATED CARE BOARD
M7C9Q,SPAMEDICA EPSOM,QXU,NHS SURREY HEARTLANDS INTEGRATED CARE BOARD
M5E1S,SPAMEDICA EXETER,QJK,NHS DEVON INTEGRATED CARE BOARD
NPG07,SPAMEDICA EYE HOSPITAL (WAKEFIELD),QWO,NHS WEST YORKSHIRE INTEGRATED CARE BOARD
Z9Z1G,SPAMEDICA GATESHEAD,QHM,NHS NORTH EAST AND NORTH CUMBRIA INTEGRATED CARE BOARD
A0C5S,SPAMEDICA GLOUCESTER,QR1,NHS GLOUCESTERSHIRE INTEGRATED CARE BOARD
F4B0R,SPAMEDICA GUILDFORD,QXU,NHS SURREY HEARTLANDS INTEGRATED CARE BOARD
Z5J5V,SPAMEDICA HAYDOCK,QYG,NHS CHESHIRE AND MERSEYSIDE INTEGRATED CARE BOARD
J0M7P,SPAMEDICA HEREFORD DIAGNOSTIC AND TREATMENT CENTRE,QGH,NHS HEREFORDSHIRE AND WORCESTERSHIRE INTEGRATED CARE BOARD
NPG18,SPAMEDICA HULL,QOQ,NHS HUMBER AND NORTH YORKSHIRE INTEGRATED CARE BOARD
Q8X0X,SPAMEDICA ISLE OF WIGHT,QRL,NHS HAMPSHIRE AND ISLE OF WIGHT INTEGRATED CARE BOARD
Q8X0X,SPAMEDICA ISLE OF WIGHT COMMUNITY DIAGNOSTIC & TREATMENT CENTRE,QRL,NHS HAMPSHIRE AND ISLE OF WIGHT INTEGRATED CARE BOARD
R1G7E,SPAMEDICA KENDAL,QE1,NHS LANCASHIRE AND SOUTH CUMBRIA INTEGRATED CARE BOARD
P0C3F,SPAMEDICA LEEDS,QWO,NHS WEST YORKSHIRE INTEGRATED CARE BOARD
L9D3Z,SPAMEDICA LEICESTER,QK1,"NHS LEICESTER, LEICESTERSHIRE AND RUTLAND INTEGRATED CARE BOARD"
NPG06,SPAMEDICA LIVERPOOL,QYG,NHS CHESHIRE AND MERSEYSIDE INTEGRATED CARE BOARD
K9J3O,SPAMEDICA LUTON,QHG,"NHS BEDFORDSHIRE, LUTON AND MILTON KEYNES INTEGRATED CARE BOARD"
R6X7C,SPAMEDICA MACCLESFIELD COMMUNITY DIAGNOSTIC & TREATMENT CENTRE,QYG,NHS CHESHIRE AND MERSEYSIDE INTEGRATED CARE BOARD
NPG01,SPAMEDICA MANCHESTER,QOP,NHS GREATER MANCHESTER INTEGRATED CARE BOARD
G3O5P,SPAMEDICA NEWARK,QT1,NHS NOTTINGHAM AND NOTTINGHAMSHIRE INTEGRATED CARE BOARD
NPG15,SPAMEDICA NEWCASTLE-UNDER-LYME,QNC,NHS STAFFORDSHIRE AND STOKE-ON-TRENT INTEGRATED CARE BOARD
G5X2Q,SPAMEDICA NORTH TYNESIDE,QHM,NHS NORTH EAST AND NORTH CUMBRIA INTEGRATED CARE BOARD
M3R0W,SPAMEDICA NORWICH,QMM,NHS NORFOLK AND WAVENEY INTEGRATED CARE BOARD
O1P6X,SPAMEDICA OLDHAM,QOP,NHS GREATER MANCHESTER INTEGRATED CARE BOARD
O5Y9D,SPAMEDICA OXFORD,QU9,"NHS BUCKINGHAMSHIRE, OXFORDSHIRE AND BERKSHIRE WEST INTEGRATED CARE BOARD"
B9J4U,SPAMEDICA PETERBOROUGH,QUE,NHS CAMBRIDGESHIRE AND PETERBOROUGH INTEGRATED CARE BOARD
L6O7H,SPAMEDICA POOLE,QVV,NHS DORSET INTEGRATED CARE BOARD
A1U4J,SPAMEDICA PORTSMOUTH,QRL,NHS HAMPSHIRE AND ISLE OF WIGHT INTEGRATED CARE BOARD
NPG17,SPAMEDICA PRESTON,QE1,NHS LANCASHIRE AND SOUTH CUMBRIA INTEGRATED CARE BOARD
B4N1U,SPAMEDICA ROMFORD,QMF,NHS NORTH EAST LONDON INTEGRATED CARE BOARD
I1H7K,SPAMEDICA SALE,QOP,NHS GREATER MANCHESTER INTEGRATED CARE BOARD
NPG10,SPAMEDICA SHEFFIELD,QF7,NHS SOUTH YORKSHIRE INTEGRATED CARE BOARD
V8A3H,SPAMEDICA SHEFFIELD COMMUNITY DIAGNOSTIC & TREATMENT CENTRE,QF7,NHS SOUTH YORKSHIRE INTEGRATED CARE BOARD
M0N7E,SPAMEDICA SITTINGBOURNE,QKS,NHS KENT AND MEDWAY INTEGRATED CARE BOARD
NPG13,SPAMEDICA SKELMERSDALE,QE1,NHS LANCASHIRE AND SOUTH CUMBRIA INTEGRATED CARE BOARD
J7V1N,SPAMEDICA SOLIHULL,QHL,NHS BIRMINGHAM AND SOLIHULL INTEGRATED CARE BOARD
B9M3W,SPAMEDICA SOUTHAMPTON,QRL,NHS HAMPSHIRE AND ISLE OF WIGHT INTEGRATED CARE BOARD
K3V9U,SPAMEDICA STEVENAGE COMMUNITY DIAGNOSTIC & TREATMENT CENTRE,QM7,NHS HERTFORDSHIRE AND WEST ESSEX INTEGRATED CARE BOARD
NPG22,SPAMEDICA STOCKTON-ON-TEES,QHM,NHS NORTH EAST AND NORTH CUMBRIA INTEGRATED CARE BOARD
H1T2P,SPAMEDICA SWINDON,QOX,"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE INTEGRATED CARE BOARD"
G6S7A,SPAMEDICA TAUNTON,QSL,NHS SOMERSET INTEGRATED CARE BOARD
V5F1D,SPAMEDICA TELFORD,QOC,"NHS SHROPSHIRE, TELFORD AND WREKIN INTEGRATED CARE BOARD"
E3D4A,SPAMEDICA TRURO,QT6,NHS CORNWALL AND THE ISLES OF SCILLY INTEGRATED CARE BOARD
Q1W6P,SPAMEDICA WATFORD,QM7,NHS HERTFORDSHIRE AND WEST ESSEX INTEGRATED CARE BOARD
A1D1B,SPAMEDICA WEMBLEY,QRV,NHS NORTH WEST LONDON INTEGRATED CARE BOARD
NPG14,SPAMEDICA WIDNES,QYG,NHS CHESHIRE AND MERSEYSIDE INTEGRATED CARE BOARD
NPG02,SPAMEDICA WIRRAL,QYG,NHS CHESHIRE AND MERSEYSIDE INTEGRATED CARE BOARD
T8R5I,SPAMEDICA WOKINGHAM,QU9,"NHS BUCKINGHAMSHIRE, OXFORDSHIRE AND BERKSHIRE WEST INTEGRATED CARE BOARD"
NPG20,SPAMEDICA WOLVERHAMPTON,QUA,NHS BLACK COUNTRY INTEGRATED CARE BOARD
J3X4C,SPAMEDICA WORCESTER,QGH,NHS HEREFORDSHIRE AND WORCESTERSHIRE INTEGRATED CARE BOARD
NN8,SPENCER PRIVATE HOSPITALS LTD,QKS,NHS KENT AND MEDWAY INTEGRATED CARE BOARD
NT312,SPIRE ALEXANDRA HOSPITAL,QKS,NHS KENT AND MEDWAY INTEGRATED CARE BOARD
NT302,SPIRE BRISTOL HOSPITAL,QUY,"NHS BRISTOL, NORTH SOMERSET AND SOUTH GLOUCESTERSHIRE INTEGRATED CARE BOARD"
NT315,SPIRE BUSHEY HOSPITAL,QM7,NHS HERTFORDSHIRE AND WEST ESSEX INTEGRATED CARE BOARD
NT317,SPIRE CAMBRIDGE LEA HOSPITAL,QUE,NHS CAMBRIDGESHIRE AND PETERBOROUGH INTEGRATED CARE BOARD
NT324,SPIRE CHESHIRE HOSPITAL,QYG,NHS CHESHIRE AND MERSEYSIDE INTEGRATED CARE BOARD
NT345,SPIRE CLARE PARK HOSPITAL,QNQ,NHS FRIMLEY INTEGRATED CARE BOARD
NT344,SPIRE DUNEDIN HOSPITAL,QU9,"NHS BUCKINGHAMSHIRE, OXFORDSHIRE AND BERKSHIRE WEST INTEGRATED CARE BOARD"
NT348,SPIRE ELLAND HOSPITAL,QWO,NHS WEST YORKSHIRE INTEGRATED CARE BOARD
NT347,SPIRE FYLDE COAST HOSPITAL,QE1,NHS LANCASHIRE AND SOUTH CUMBRIA INTEGRATED CARE BOARD
NT308,SPIRE GATWICK PARK HOSPITAL,QXU,NHS SURREY HEARTLANDS INTEGRATED CARE BOARD
NT316,SPIRE HARPENDEN HOSPITAL,QM7,NHS HERTFORDSHIRE AND WEST ESSEX INTEGRATED CARE BOARD
NT319,SPIRE HARTSWOOD HOSPITAL,QH8,NHS MID AND SOUTH ESSEX INTEGRATED CARE BOARD
NT351,SPIRE HULL AND EAST RIDING HOSPITAL,QOQ,NHS HUMBER AND NORTH YORKSHIRE INTEGRATED CARE BOARD
NT332,SPIRE LEEDS HOSPITAL,QWO,NHS WEST YORKSHIRE INTEGRATED CARE BOARD
NT322,SPIRE LEICESTER HOSPITAL,QK1,"NHS LEICESTER, LEICESTERSHIRE AND RUTLAND INTEGRATED CARE BOARD"
NT321,SPIRE LITTLE ASTON HOSPITAL,QNC,NHS STAFFORDSHIRE AND STOKE-ON-TRENT INTEGRATED CARE BOARD
NT337,SPIRE LIVERPOOL HOSPITAL,QYG,NHS CHESHIRE AND MERSEYSIDE INTEGRATED CARE BOARD
NT314,SPIRE LONDON EAST,QMF,NHS NORTH EAST LONDON INTEGRATED CARE BOARD
NT327,SPIRE MANCHESTER HOSPITAL,QOP,NHS GREATER MANCHESTER INTEGRATED CARE BOARD
NT350,SPIRE METHLEY PARK HOSPITAL,QWO,NHS WEST YORKSHIRE INTEGRATED CARE BOARD
NT364,SPIRE MONTEFIORE HOSPITAL,QNX,NHS SUSSEX INTEGRATED CARE BOARD
NT325,SPIRE MURRAYFIELD HOSPITAL,QYG,NHS CHESHIRE AND MERSEYSIDE INTEGRATED CARE BOARD
NT318,SPIRE NORWICH HOSPITAL,QMM,NHS NORFOLK AND WAVENEY INTEGRATED CARE BOARD
NT30A,SPIRE NOTTINGHAM HOSPITAL,QT1,NHS NOTTINGHAM AND NOTTINGHAMSHIRE INTEGRATED CARE BOARD
NT320,SPIRE PARKWAY HOSPITAL,QHL,NHS BIRMINGHAM AND SOLIHULL INTEGRATED CARE BOARD
NT305,SPIRE PORTSMOUTH HOSPITAL,QRL,NHS HAMPSHIRE AND ISLE OF WIGHT INTEGRATED CARE BOARD
NT339,SPIRE REGENCY HOSPITAL,QYG,NHS CHESHIRE AND MERSEYSIDE INTEGRATED CARE BOARD
NT301,SPIRE SOUTH BANK HOSPITAL,QGH,NHS HEREFORDSHIRE AND WORCESTERSHIRE INTEGRATED CARE BOARD
NT304,SPIRE SOUTHAMPTON HOSPITAL,QRL,NHS HAMPSHIRE AND ISLE OF WIGHT INTEGRATED CARE BOARD
NT3X3,SPIRE ST ANTHONY'S HOSPITAL,QWE,NHS SOUTH WEST LONDON INTEGRATED CARE BOARD
NT343,SPIRE THAMES VALLEY HOSPITAL,QU9,"NHS BUCKINGHAMSHIRE, OXFORDSHIRE AND BERKSHIRE WEST INTEGRATED CARE BOARD"
NT310,SPIRE TUNBRIDGE WELLS HOSPITAL,QKS,NHS KENT AND MEDWAY INTEGRATED CARE BOARD
NT333,SPIRE WASHINGTON HOSPITAL,QHM,NHS NORTH EAST AND NORTH CUMBRIA INTEGRATED CARE BOARD
NT313,SPIRE WELLESLEY HOSPITAL,QH8,NHS MID AND SOUTH ESSEX INTEGRATED CARE BOARD
NVC18,SPRINGFIELD HOSPITAL,QH8,NHS MID AND SOUTH ESSEX INTEGRATED CARE BOARD
NT446,ST EDMUNDS HOSPITAL,QJG,NHS SUFFOLK AND NORTH EAST ESSEX INTEGRATED CARE BOARD
RJ7,ST GEORGE'S UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,QWE,NHS SOUTH WEST LONDON INTEGRATED CARE BOARD
NTE02,ST HUGH'S HOSPITAL,QOQ,NHS HUMBER AND NORTH YORKSHIRE INTEGRATED CARE BOARD
NQT5K,ST MARTINS HOSPITAL,QOX,"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE INTEGRATED CARE BOARD"
AHP,ST MICHAEL'S CLINIC LIMITED,QOC,"NHS SHROPSHIRE, TELFORD AND WREKIN INTEGRATED CARE BOARD"
NHW,STANDARD HEALTH LTD,QRV,NHS NORTH WEST LONDON INTEGRATED CARE BOARD
RWJ,STOCKPORT NHS FOUNDATION TRUST,QOP,NHS GREATER MANCHESTER INTEGRATED CARE BOARD
NVC1H,STOURSIDE HOSPITAL,QUA,NHS BLACK COUNTRY INTEGRATED CARE BOARD
NDL01,SUFFOLK GP FEDERATION,QJG,NHS SUFFOLK AND NORTH EAST ESSEX INTEGRATED CARE BOARD
G3Z1Q,SULIS HOSPITAL BATH (FOXCOTE AVENUE),QOX,"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE INTEGRATED CARE BOARD"
RTP,SURREY AND SUSSEX HEALTHCARE NHS TRUST,QXU,NHS SURREY HEARTLANDS INTEGRATED CARE BOARD
